track_artist,mean,count
Harry Styles,83.5925925925926,27
Billie Eilish,83.5813953488372,43
Travis Scott,82.1470588235294,34
Camila Cabello,77.10526315789474,38
Dua Lipa,75.79310344827586,29
Khalid,75.29824561403508,57
AC/DC,74.89285714285714,28
Ed Sheeran,74.23188405797102,69
Justin Bieber,74.2258064516129,31
Selena Gomez,72.28846153846153,52
